propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation
4958,Apartment,Used,Available,Albania,Tirana,Tirana,"Vasil Shanto","Vasil Shanto",80000,67,67,1,1,0,0,0
4951,Apartment,New,Available,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",59000,59,65,1,1,0,0,0
4948,Apartment,New,Available,Albania,Tirana,Tirana,"Don Bosko","Don Bosko",78000,81,91,2,2,0,0,0
4941,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,,,75000,75,82,2,1,3,0,0
4915,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,,,85000,97,103,2,2,3,0,0
4914,Apartment,Used,Available,Albania,Tirana,Tirana,"Kodra e  Diellit","Kodra e  Diellit",68000,71,78,2,1,3,0,0
4910,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,Dogana,Dogana,66000,96,108,2,2,0,0,0
4903,Apartment,New,Available,Albania,Tirana,Tirana,Laprake,Laprake,122000,112,123,3,2,0,0,0
4902,Apartment,New,Withdrawn,Albania,Tirana,Tirana,Laprake,Laprake,66000,61,72,1,1,0,0,0
4901,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",130000,124,134,2,2,0,0,0
4900,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",150000,109,124,2,2,0,0,0
4897,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",95000,105,105,2,1,0,0,0
4896,Apartment,Used,Available,Albania,Tirana,Tirana,"Plazh, Durres","Plazh, Durres",44000,95,102,2,2,0,0,0
4895,Apartment,Used,Available,Albania,Tirana,Tirana,"Plazh, Durres","Plazh, Durres",27000,56,60,1,1,0,0,0
4872,Apartment,New,Available,Albania,Tirana,Tirana,,,49775,56,61,1,1,0,0,0
4870,Apartment,Used,Available,Albania,Tirana,Tirana,"Kodra e  Diellit","Kodra e  Diellit",105000,101,110,2,2,3,0,0
