propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation
6848,Apartment,New,Sold,Albania,Tirana,Tirana,"Blv. "Bajram Curri"","Blv. "Bajram Curri"",85000,60,0,2,1,0,0,0
6840,Apartment,New,Sold,Albania,Tirana,Tirana,"Pranë Prokurorisë së Përgjithshme","Pranë Prokurorisë së Përgjithshme",135000,135,0,3,1,0,0,0
6838,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaza e Re, Astiri","Unaza e Re, Astiri",44640,93,0,2,1,0,0,0
6836,Apartment,New,Sold,Albania,Tirana,Tirana,"Rruga e Durresit","Rruga e Durresit",83300,119,0,2,1,0,0,0
6830,Apartment,New,Rented,Albania,Tirana,Tirana,"Prane shkolles"11 Janari"","Prane shkolles"11 Janari"",130200,93,0,2,2,0,0,0
6828,Apartment,New,Sold,Albania,Tirana,Tirana,"Blv. "Bajram Curri"","Blv. "Bajram Curri"",50000,60,0,0,0,0,0,0
6826,Apartment,New,Sold,Albania,Tirana,Tirana,"Unaze e Re","Unaze e Re",45650,83,0,2,1,0,0,0
6824,Apartment,New,Rented,Albania,Tirana,Tirana,"Pranë Qendrës Globe, Rr. e Kavajës","Pranë Qendrës Globe, Rr. e Kavajës",60605,71,0,1,1,0,0,0
6816,Apartment,New,Rented,Albania,Tirana,Tirana,"Rr. "Naim Frashëri"","Rr. "Naim Frashëri"",87000,116,0,3,2,0,0,0
6814,Apartment,New,Rented,Albania,Tirana,Tirana,"Pranë Kopshtit Botanik","Pranë Kopshtit Botanik",82600,118,0,2,2,0,0,0
6812,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Muhamet Gjollesha"","Rr. "Muhamet Gjollesha"",60000,60,0,1,1,0,0,0
6810,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane shkollës "Petro Nini Luarasi"","Prane shkollës "Petro Nini Luarasi"",360000,282,0,5,4,0,0,0
6808,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Nikolla Lena"","Rr. "Nikolla Lena"",55000,60,0,1,1,0,0,0
6804,Apartment,New,Rented,Albania,Tirana,Tirana,"Blv. "Bajram Curri"","Blv. "Bajram Curri"",90000,86,0,2,2,0,0,0
6802,Apartment,New,Sold,Albania,Tirana,Tirana,"Blv. "Bajram Curri"","Blv. "Bajram Curri"",73000,97,0,2,2,0,0,0
6800,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Qamil Guranjaku"","Rr. "Qamil Guranjaku"",71400,68,0,1,1,0,0,0
6796,Apartment,New,Available,Albania,Tirana,Tirana,"Pranë Prokurorisë së Përgjithshme","Pranë Prokurorisë së Përgjithshme",140000,130,0,2,2,0,0,0
6794,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Mihal Grameno"","Rr. "Mihal Grameno"",88000,110,0,2,2,0,0,0
6790,Apartment,New,Sold,Albania,Tirana,Tirana,KMY,KMY,37000,69,69,1,1,0,0,0
6786,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Siri Kodra"","Rr. "Siri Kodra"",73600,92,0,1,1,0,0,0
6778,Apartment,New,Sold,Albania,Tirana,Tirana,"Bulevardi  "Zogu i I"","Bulevardi  "Zogu i I"",100000,126,0,2,2,0,0,0
6774,Apartment,New,Sold,Albania,Tirana,Tirana,"Kont Leopold Bertold","Kont Leopold Bertold",95000,103,0,2,2,0,0,0
6772,Apartment,New,Rented,Albania,Tirana,Tirana," Rr. "Margarita Tutulani""," Rr. "Margarita Tutulani"",115000,115,0,2,2,0,0,0
6770,Apartment,New,Sold,Albania,Tirana,Tirana,"Liqeni i Tiranës, pranë Kopshtit Zoologjik","Liqeni i Tiranës, pranë Kopshtit Zoologjik",109000,156,0,3,2,0,0,0
6766,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane ATSH-se","Prane ATSH-se",110000,100,89,2,2,0,0,0
6762,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Tefta Tashko Koço"","Rr. "Tefta Tashko Koço"",68800,69,0,1,1,0,0,0
6760,Apartment,New,Sold,Albania,Tirana,Tirana,"Rruga e Barrikadave","Rruga e Barrikadave",80000,80,0,3,1,0,0,0
6758,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane Zogut te Zi","Prane Zogut te Zi",115240,134,0,0,0,0,0,0
6752,Apartment,New,Sold,Albania,Tirana,Tirana,"Rruga e Durresit","Rruga e Durresit",125000,127,0,2,2,0,0,0
6750,Apartment,New,Rented,Albania,Tirana,Tirana,"Unaze e Re","Unaze e Re",37600,94,0,2,1,0,0,0
6748,Apartment,New,Sold,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",125450,97,0,0,0,0,0,0
6744,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane Hotel "Mondial"","Prane Hotel "Mondial"",57000,59,0,1,1,0,0,0
6742,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Qemal Stafa"","Rr. "Qemal Stafa"",135000,130,0,3,2,0,0,0
6738,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Todi Shkurti"","Rr. "Todi Shkurti"",48000,60,60,1,1,0,0,0
6734,Apartment,New,Sold,Albania,Tirana,Tirana,Laprake,Laprake,55000,80,0,1,1,0,0,0
6728,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane Tajvanit","Prane Tajvanit",115500,66,0,1,1,0,0,0
6726,Apartment,New,Sold,Albania,Tirana,Tirana,"Kodra e Diellit","Kodra e Diellit",62000,62,0,1,1,0,0,0
6724,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr."Fortuzi"","Rr."Fortuzi"",57000,67,0,1,1,0,0,0
6722,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane Selvise","Prane Selvise",75000,85,0,2,1,0,0,0
6718,Apartment,New,Sold,Albania,Tirana,Tirana,"Blv. "Bajram Curri"","Blv. "Bajram Curri"",76440,98,0,2,2,0,0,0
6714,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane lulishte "1 Maji"","Prane lulishte "1 Maji"",55000,52,0,1,1,0,0,0
6712,Apartment,New,Available,Albania,Tirana,Tirana,"Blv. "Bajram Curri"","Blv. "Bajram Curri"",135000,117,0,3,2,0,0,0
6710,Apartment,New,Sold,Albania,Tirana,Tirana,"Fusha e Aviacionit","Fusha e Aviacionit",109000,109,0,2,2,0,0,0
6708,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Ismail Qemali"","Rr. "Ismail Qemali"",240000,120,0,2,2,0,0,0
6704,Apartment,New,Available,Albania,Tirana,Tirana,"Prane stadiumit Dinamo","Prane stadiumit Dinamo",220000,150,0,3,1,0,0,0
6702,Apartment,New,Sold,Albania,Tirana,Tirana,"Kodra e Diellit","Kodra e Diellit",75000,63,0,1,1,0,0,0
6700,Apartment,New,Sold,Albania,Tirana,Tirana,"Rr. "Muhamet Gjollesha"","Rr. "Muhamet Gjollesha"",87000,81,0,2,1,0,0,0
6698,Apartment,New,Sold,Albania,Tirana,Tirana,"Prane stadiumit Dinamo","Prane stadiumit Dinamo",136400,124,0,2,2,0,0,0
6696,Apartment,New,Available,Albania,Tirana,Tirana,"prane Kesh","prane Kesh",99675,111,0,2,2,0,0,0
