propertiesid,property_type,property_status,availability,country,division,city,current_zones,zone,price,interior_area,gros_area,bedrooms,bathrooms,other_rooms,year_of_construction,year_of_renovation,closed_price
44284,Apartment,Used,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",102000,0,135,2,2,NULL,NULL,NULL,NULL
44278,Apartment,Used,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",91800,0,122,2,2,NULL,NULL,NULL,NULL
44274,Apartment,Used,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",81500,0,108,2,2,NULL,NULL,NULL,NULL
44272,Apartment,Used,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",79500,0,105,2,2,NULL,NULL,NULL,NULL
44269,Apartment,Used,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",77000,0,102,2,2,NULL,NULL,NULL,NULL
44266,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",77500,0,103,2,2,NULL,NULL,NULL,NULL
44264,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",72500,0,96,2,1,NULL,NULL,NULL,NULL
44260,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"21 dhjetori","21 dhjetori",106000,0,106,2,1,NULL,NULL,NULL,NULL
44254,Apartment,Used,Available,Albania,Tirana,Tirana,"Stacioni I trenit","Stacioni I trenit",125000,0,140,2,1,NULL,NULL,NULL,NULL
44250,Apartment,New,Sold,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",130000,0,112,2,2,NULL,NULL,NULL,NULL
44242,Apartment,Used,Available,Albania,Tirana,Tirana,"Rruga e Barrikadave","Rruga e Barrikadave",130000,0,100,2,2,NULL,NULL,NULL,NULL
44240,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"21 dhjetori","21 dhjetori",165000,0,168,3,2,NULL,NULL,NULL,NULL
44232,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",130000,0,112,3,2,NULL,NULL,NULL,NULL
44229,Apartment,Used,Sold,Albania,Tirana,Tirana,"Komuna e Parisit","Komuna e Parisit",77000,0,73,2,1,NULL,NULL,NULL,NULL
44217,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rruga e Kosovareve","Rruga e Kosovareve",142000,0,89,2,1,NULL,NULL,NULL,NULL
44214,Apartment,Used,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",57000,0,98,2,1,NULL,NULL,NULL,NULL
44212,Apartment,Used,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",76000,0,131,3,2,NULL,NULL,NULL,NULL
44207,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Rruga e Kosovareve","Rruga e Kosovareve",150000,0,94,2,1,NULL,NULL,NULL,NULL
44172,Apartment,New,Sold,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",102600,0,114,2,1,NULL,NULL,NULL,NULL
44170,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",104940,0,116,2,1,NULL,NULL,NULL,NULL
44163,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",87480,0,97,2,1,NULL,NULL,NULL,NULL
44160,Apartment,New,Sold,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",66300,0,73,1,1,NULL,NULL,NULL,NULL
44121,Apartment,New,Sold,Albania,Tirana,Tirana,"Fusha e Aviacionit","Fusha e Aviacionit",82240,0,103,2,1,NULL,NULL,NULL,NULL
44116,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga Kongresi Manastirit","Rruga Kongresi Manastirit",128000,0,151,3,2,NULL,NULL,NULL,NULL
44111,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga Kongresi Manastirit","Rruga Kongresi Manastirit",89000,0,105,2,2,NULL,NULL,NULL,NULL
44108,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga Kongresi Manastirit","Rruga Kongresi Manastirit",59000,0,70,1,1,NULL,NULL,NULL,NULL
43813,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Tregu Elektrik","Tregu Elektrik",50000,0,55,1,1,NULL,NULL,NULL,NULL
43807,Apartment,New,Sold,Albania,Tirana,Tirana,"Green City","Green City",96000,0,108,2,2,NULL,NULL,NULL,NULL
43804,Apartment,Used,Sold,Albania,Tirana,Tirana,"Unaza e re","Unaza e re",82000,0,122,2,2,NULL,NULL,NULL,NULL
43801,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga e Dibres","Rruga e Dibres",48000,0,60,1,1,NULL,NULL,NULL,NULL
43797,Apartment,Used,Sold,Albania,Tirana,Tirana,Yzberisht,Yzberisht,63000,0,102,2,1,NULL,NULL,NULL,NULL
43777,Apartment,Used,Sold,Albania,Tirana,Tirana,Yzberisht,Yzberisht,33000,0,51,1,1,NULL,NULL,NULL,NULL
43695,Apartment,New,Withdrawn,Albania,Tirana,Tirana,TEG,TEG,200000,0,142,3,2,NULL,NULL,NULL,NULL
43644,Apartment,Used,Sold,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",110000,0,130,2,1,NULL,NULL,NULL,NULL
43619,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Kodra e Diellit","Kodra e Diellit",85000,0,86,2,1,NULL,NULL,NULL,NULL
43617,Apartment,Used,Sold,Albania,Tirana,Tirana,Yzberisht,Yzberisht,55000,0,73,2,1,NULL,NULL,NULL,NULL
43614,Apartment,New,Withdrawn,Albania,Tirana,Tirana,"Rruga e Kavajes","Rruga e Kavajes",85905,0,75,1,1,NULL,NULL,NULL,NULL
43506,Apartment,New,Available,Albania,Tirana,Tirana,TEG,TEG,185000,0,137,3,2,NULL,NULL,NULL,NULL
43496,Apartment,Used,Withdrawn,Albania,Tirana,Tirana,"Liqeni i Thate","Liqeni i Thate",97950,0,99,2,2,NULL,NULL,NULL,NULL
43494,Apartment,New,Available,Albania,Tirana,Tirana,TEG,TEG,120000,0,92,2,1,NULL,NULL,NULL,NULL
43490,Apartment,New,Available,Albania,Tirana,Tirana,TEG,TEG,93600,0,72,1,1,NULL,NULL,NULL,NULL
